step,current,temp,soc,soh
89,14.660009383845544,39.79335450922961,0.8500659403462494,1.0
90,10.612793393009188,39.44033289433364,0.8482971414474145,1.0
91,11.951690436313498,39.424728647754954,0.8463051930413623,1.0
92,11.873645178943299,39.39209028133389,0.8443262521782051,1.0
93,2.5945183465638832,38.02019650770707,0.8438938324537778,1.0
94,18.09830903159338,39.99366475496691,0.8408774476151789,1.0
95,3.568448686718859,38.62163653976767,0.8402827061673924,1.0
96,7.896746991504841,37.883059016269314,0.8389665816688083,1.0
97,3.6827859600315205,36.730382238916434,0.8383527840088031,1.0
98,8.058762875913478,36.2067806059268,0.8370096568628175,1.0
99,13.273359930540597,36.84792338379093,0.8347974302077273,1.0
100,15.772380949912792,38.150811053703556,0.8321687000494086,1.0
101,3.9539002846808913,36.9920632229452,0.8315097166686284,1.0
